"DC_TITLE","DC_PUBLISHER","DC_IDENTIFIER","DC_SOURCE","DC_LANGUAGE","DC_RELATION","DTB_REVISION","LB_DURATION","LB_MESSAGE_FORMAT","LB_TARGET_AUDIENCE","LB_DATE_RECORDED","LB_KEYWORDS","LB_TIMING","LB_PRIMARY_SPEAKER","LB_GOAL","LB_ENGLISH_TRANSCRIPTION","LB_NOTES","LB_BENEFICIARY","LB_STATUS","CATEGORIES","QUALITY","PROJECT"
"Delivery skilled attendant Drama-redundant?","b-63313539","b-63313539_DB1107C3","Ving Ving-Jirapa","en","LB-2_rgpwa8k04a_6p","7","789","Drama","","2014/11/24","","2014-5:0006","HH Rotation 0:Day 006","","","","","0","Antenatal care","l","UWR"
"Handwashing with soap Interview","b-63313539","b-63313539_A71BED9F","","en","","5","335","Interview","","2014/11/24","","2014-5:0005","HH Rotation 0:Day 006","","","","","","Hygiene and sanitation","l","UWR"
"Delivery with a skilled attendant-Jirapa Interview","b-63313539","b-63313539_D7D68E73","Jirapa Hospital","en","","7","1011","Interview","","2014/11/24","","2014-5:0005","HH Rotation 0:Day 006","","","","","","Antenatal care","l","UWR"
"Queen Mother speech","b-63313539","b-63313539_B509FCB0","Queen Mother Jirapa","en","","7","118","Lecture","","2014/11/24","","2014-5:0007","Queen Mother Jirapa","","","","","","Nutrition","l","UWR"
"Use of LLIN by Community Members","b-63313539","b-63313539_F60238BC","AngloGold Asante Malara Program","en","","5","1113","Interview","","2014/11/24","","2014-5:0008","HH Rotation 0:Day 006","","","","","","Malaria","l","UWR"
"11","a-265AC9DE","a-265AC9DE_8D0ED5AA","irapa","en","","2","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"10","a-265AC9DE","a-265AC9DE_D94EACDF","irapa","en","","2","2","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"41","a-265AC9DE","a-265AC9DE_4352648D","irapa","en","","2","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"37","a-265AC9DE","a-265AC9DE_1B542B9C","irapa","en","","2","1","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"38","a-265AC9DE","a-265AC9DE_B5554B15","irapa","en","","2","1","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"11","a-265AC9DE","a-265AC9DE_5C9A635F","irapa","en","","2","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"1","a-265AC9DE","a-265AC9DE_A5A041C4","irapa","en","","2","4","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"3","a-265AC9DE","a-265AC9DE_E6A4E65C","irapa","en","","2","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"4","a-265AC9DE","a-265AC9DE_5CA6D7DF","irapa","en","","2","4","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"5","a-265AC9DE","a-265AC9DE_60A902B5","irapa","en","","2","6","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"6","a-265AC9DE","a-265AC9DE_86AB9942","irapa","en","","2","1","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"9","a-265AC9DE","a-265AC9DE_5FAE0FA2","irapa","en","","2","7","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"53","a-265AC9DE","a-265AC9DE_24B1046F","irapa","en","","2","6","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"80","a-265AC9DE","a-265AC9DE_14B38FD2","irapa","en","","2","2","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"29","a-265AC9DE","a-265AC9DE_7AB54283","irapa","en","","2","5","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"65","a-265AC9DE","a-265AC9DE_25B7A3CB","irapa","en","","2","5","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"63","a-265AC9DE","a-265AC9DE_80BA0ABC","irapa","en","","2","5","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"62","a-265AC9DE","a-265AC9DE_73BC6A4D","irapa","en","","2","12","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"61","a-265AC9DE","a-265AC9DE_4EC1ECA1","irapa","en","","2","2","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"33","a-265AC9DE","a-265AC9DE_5CC3D7C2","irapa","en","","2","4","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"2","a-265AC9DE","a-265AC9DE_53ED0561","irapa","en","","5","6","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","0","TB System","l","UWR"
"17","a-265AC9DE","a-265AC9DE_8BF48F08","irapa","en","","2","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"16","a-265AC9DE","a-265AC9DE_45F69DB2","irapa","en","","2","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"28","a-265AC9DE","a-265AC9DE_50F8EA6E","irapa","en","","2","7","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"26","a-265AC9DE","a-265AC9DE_5504AEA3","irapa","en","","2","14","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"20","a-265AC9DE","a-265AC9DE_E70DA831","irapa","en","","2","4","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"21","a-265AC9DE","a-265AC9DE_4B146EC8","irapa","en","","2","4","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"24","a-265AC9DE","a-265AC9DE_17184DB2","irapa","en","","2","7","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"18","a-265AC9DE","a-265AC9DE_B31B9EF9","irapa","en","","3","8","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","0","TB System","l","UWR"
"19","a-265AC9DE","a-265AC9DE_9D2480F8","irapa","en","","2","9","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"22","a-265AC9DE","a-265AC9DE_AD288104","irapa","en","","2","4","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"23","a-265AC9DE","a-265AC9DE_452B5CBE","irapa","en","","2","4","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"25","a-265AC9DE","a-265AC9DE_672E7DBC","irapa","en","","2","6","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"54","a-265AC9DE","a-265AC9DE_F331784A","irapa","en","","2","5","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB System","l","UWR"
"1-0","a-265AC9DE","a-265AC9DE_7B34CA7C","irapa","en","","4","1","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"i1-0","a-265AC9DE","a-265AC9DE_473963AB","irapa","en","","4","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"1-2","a-265AC9DE","a-265AC9DE_4D3BE62C","irapa","en","","2","1","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"2-0","a-265AC9DE","a-265AC9DE_E542FDA6","irapa","en","","3","1","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"i2-0","a-265AC9DE","a-265AC9DE_6944F530","irapa","en","","3","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"$0-1","a-265AC9DE","a-265AC9DE_1F49F2E3","irapa","en","","2","1","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"i$0-1","a-265AC9DE","a-265AC9DE_934C4CFB","irapa","en","","2","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"0-0","a-265AC9DE","a-265AC9DE_D352176A","irapa","en","","4","1","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"i0-0","a-265AC9DE","a-265AC9DE_E954781C","irapa","en","","4","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"4-0","a-265AC9DE","a-265AC9DE_73576BB1","irapa","en","","3","1","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"i4-0","a-265AC9DE","a-265AC9DE_3B5CF4EB","irapa","en","","3","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"9-0","a-265AC9DE","a-265AC9DE_9B5FEE4C","irapa","en","","3","2","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"i9-0","a-265AC9DE","a-265AC9DE_49625691","irapa","en","","3","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"i1-2","a-265AC9DE","a-265AC9DE_9B3E223B","irapa","en","","2","3","","","q535/01/29","",":0005","HH Rotation 0:Day 030","","","","","","TB Categories","l","UWR"
"intro1","","LB-2_rlez0gt5ow_a","","en","","1","9","","","","","","","","","","","","General Other","h","UWR"
"intro2","","LB-2_rlez0gt5ow_b","","en","","1","27","","","","","","","","","","","","General Other","h","UWR"
"mansugo","","LB-2_rlez0gt5ow_m","","en","","1","132","","","","","","","","","","","","Antenatal care","h","UWR"
"medications-user","","LB-2_rlez0gt5ow_n","","en","","1","20","","","","","","","","","","","","General Feedback","h","UWR"
"no-mounds","","LB-2_rlez0gt5ow_o","","en","","1","59","","","","","","","","","","","","Preparing land for the growing season","h","UWR"
"no-mounds-user","","LB-2_rlez0gt5ow_p","","en","","1","26","","","","","","","","","","","","General Feedback","h","UWR"
"p_wk30a","","LB-2_csqnk54ls6_8i","","en","","1","123","","","","","","","","","","","","General Health","h","UWR"
"p_wk37a","","LB-2_csqnk54ls6_8j","","en","","1","92","","","","","","","","","","","","General Health","h","UWR"
"p_wk38b","","LB-2_csqnk54ls6_8k","","en","","1","101","","","","","","","","","","","","General Health","h","UWR"
"test-seeds","","LB-2_rlez0gt5ow_u","","en","","1","78","","","","","","","","","","","","Planting / Sowing","h","UWR"
"timing","","LB-2_rlez0gt5ow_v","","en","","1","93","","","","","","","","","","","","Planting / Sowing","h","UWR"
"vacinate","","LB-2_rlez0gt5ow_w","","en","","1","38","","","","","","","","","","","","General Livestock","h","UWR"
"vacinate-user","","LB-2_rlez0gt5ow_x","","en","","1","22","","","","","","","","","","","","General Feedback","h","UWR"
"breastmilk","","LB-2_rlez0gt5ow_y","","en","","1","152","","","","","","","","","","","","Neonatal care","h","UWR"
"intro_to_TB","","LB-2_csqnk54ls6_8o","","en","","1","28","","","","","","","","","","","","General Other","l","UWR"
"Covering water pots","b-30373732","b-30373732_5B06470E","Singing Group ","dga","","3","275","","","2014/05/20","","2014-1:0029","HH Rotation 0:Day 019","","","","","","Hygiene and sanitation","l","UWR"
"Decomposed corpses","b-30373732","b-30373732_EE783F37","Singing Group","dga","","2","270","","","2014/05/20","","2014-1:0029","HH Rotation 0:Day 019","","","","","","General Feedback","l","UWR"
"Donot misuse drugs have NHIS","b-30373732","b-30373732_3815DE45","Singing Group","dga","","2","275","","","2014/05/20","","2014-1:0030","HH Rotation 0:Day 019","","","","","","General Feedback","l","UWR"
"Child care is a shared responsibility","b-30373732","b-30373732_34072FFE","Singing Group","dga","","3","198","","","2014/05/20","","2014-1:0031","HH Rotation 0:Day 019","","","","","","General Feedback","l","UWR"
"Diarrhea kills","b-30373732","b-30373732_C204E1DD","Sining Group","dga","","3","477","Song","","2014/05/20","","2014-1:0032","HH Rotation 0:Day 019","","","","","","General Feedback","l","UWR"
"Importance of LLINs","b-30373732","b-30373732_DE249426","Singing Group","dga","","4","611","Song","","2014/05/20","","2014-1:0033","HH Rotation 0:Day 019","","","","","","General Feedback","l","UWR"
"Delivery at hospital with skill person","b-30373732","b-30373732_BD29464E","Singing Group","dga","","5","408","Song","","2014/05/20","","2014-1:0034","HH Rotation 0:Day 019","","https://www.dropbox.com/s/u96k6rxcwftbhxq/SKILLED%20DELIVERY%20AT%20THE%20HOSPITALS.docx","","","","General Feedback","l","UWR"
"Exclusive brestfeeding for six months","b-30373732","b-30373732_C68DF247","Sining Group","dga","","3","572","Song","","2014/05/20","","2014-1:0034","HH Rotation 0:Day 019","","","","","","General Feedback","l","UWR"
"Antenatal care is important","b-30373732","b-30373732_A1EA6255","Singing Group","dga","","2","254","","","2014/05/20","","2014-1:0034","HH Rotation 0:Day 019","","","","","","General Feedback","l","UWR"
"After six months introduce other supplimentary feedings","b-30373732","b-30373732_1D45B127","Singing Group","dga","","5","404","Song","","2014/05/20","","2014-1:0034","HH Rotation 0:Day 019","","https://www.dropbox.com/s/bbiv2cqw1etonql/After%20six%20months%20introduce%20other%20supplimentary%20feedings.docx","","","","General Feedback","l","UWR"
"Hands washings with soap","b-30373732","b-30373732_3B9DF9A4","Singing Group","dga","","4","389","Song","","2014/05/20","","2014-1:0034","HH Rotation 0:Day 019","","","","","","General Feedback","l","UWR"
"Nemunia causes","b-30373732","b-30373732_6F0574F5","Singing Group","dga","","2","266","","","2014/05/21","","2014-1:0035","HH Rotation 0:Day 020","","","","","","General Feedback","l","UWR"
"Importance of education","b-30373732","b-30373732_E97D1D4F","Singing Group","dga","","2","225","","","2014/05/21","","2014-1:0035","HH Rotation 0:Day 020","","","","","","General Feedback","l","UWR"
"We have develop the community ourselves","b-30373732","b-30373732_0EC53217","Singing Group","dga","","2","264","","","2014/05/21","","2014-1:0035","HH Rotation 0:Day 020","","","","","","General Feedback","l","UWR"
"Exclusive Breastfeeding for six months","b-30373732","b-30373732_4B2927FB","GHS Jirapa","dga","","4","317","Interview","","2014/05/28","","2014-1:0041","HH Rotation 0:Day 027","","https://www.dropbox.com/s/osslbto0jvbglrp/EXCLUSIVE%20BREASTFEEDING%20ISSUES.docx","","","","General Feedback","l","UWR"
"Exclusive Breastfeeding & Complementary Feeding","b-30373732","b-30373732_F29C1442","GHS Jirapa","dga","","4","618","Interview","","2014/05/28","","2014-1:0041","HH Rotation 0:Day 027","","","","","","General Feedback","l","UWR"
"Use of LLINs by All Community Members","b-30373732","b-30373732_4D04BF8A","GHS Jirapa","dga","","4","1052","Interview","","2014/05/31","","2014-1:0050","HH Rotation 0:Day 030","","https://www.dropbox.com/s/x3i127xqvjmv5uz/USE%20OF%20LLINS%20BY%20ALL%20COMMUNITY%20MEMBERS.docx","","","","General Feedback","l","UWR"
"Delivery with a Skilled Attendant and ANC","TB000482","TB000482_88025D29","GHS Jirapa","dga","","4","1186","Interview","","2013-08-73","","2013-03:0820","HH Rotation 0:Day 91","","","","","","General Feedback","l","UWR"
"Summary of Important of LLINs","b-30373732","b-30373732_5B6BB33D","Singing Group","dga","","2","220","","","2014/06/14","","2014-1:0057","HH Rotation 0:Day 044","","","","","","General Feedback","l","UWR"
"Summary of exclusive breastfeeding song","b-30373732","b-30373732_3FC9591C","Singing Group","dga","","2","290","","","2014/06/14","","2014-1:0057","HH Rotation 0:Day 044","","","","","","General Feedback","l","UWR"
"Summary hands washing with soap","b-30373732","b-30373732_1D42B129","Singing Group","dga","","2","168","","","2014/06/14","","2014-1:0057","HH Rotation 0:Day 044","","","","","","General Feedback","l","UWR"
"Handwashing with soap and water","b-30373732","b-30373732_84887B81","GHS Jirapa","dga","","4","354","Interview","","2014/06/15","","2014-1:0060","HH Rotation 0:Day 045","","https://www.dropbox.com/s/cfwc55flqjo6jio/HAND%20WASHING%20WITH%20SOAP.docx","","","","General Feedback","l","UWR"
"Diarrhea management using ORS and Zinc tablets","b-30373732","b-30373732_6704F073","GHS Jirapa","dga","","4","457","Interview","","2014/06/16","","2014-1:0061","HH Rotation 0:Day 046","","https://www.dropbox.com/s/odpcaomi2tp7qnw/DIARRHEA%20MANAGEMENT.docx","","","","General Feedback","l","UWR"
"Weedicides and Insecticides use","b-30373732","b-30373732_EB084B98","Lang-uolo-Jirapa","dga","","3","1529","Interview","","2014/06/19","","2014-1:0064","HH Rotation 0:Day 049","","https://www.dropbox.com/s/iwf11vjrod5kdlu/WEEDICIDES%20AND%20INSECTICIDES%20USE.docx","","","","Maintaining crops (e.g. weeding)","l","UWR"
"Late sowing of maize in July to it middle","b-30373732","b-30373732_1D769F08","MOFA Jirapa","dga","","6","853","Interview","","2014/06/19","","2014-1:0064","HH Rotation 0:Day 049","","https://www.dropbox.com/s/xyuj067lbfv1ekf/MAIZE%20SOWING%20IN%20JULY.docx","","","","Planting / Sowing, Maize","l","UWR"
"Transplanting of guinea corn, Kapaala and millet","b-30373732","b-30373732_074415AC","MOFA Jirapa","dga","","6","724","Interview","","2014/06/19","","2014-1:0064","HH Rotation 0:Day 049","","https://www.dropbox.com/s/k2hcbhqzh4jjurr/TRANSPLANTING%20OF%20GUINEA%20CORN.docx","","","","Planting / Sowing","l","UWR"
"Caring for goats, sheep and poultry in the rainy season","b-30373732","b-30373732_CAEF09D2","MOFA Jirapa","dga","","15","1061","Interview","","2014/06/19","","2014-1:0064","Mavis Derigobaa","","https://www.dropbox.com/s/55iihzirtspflq9/CARING%20FOR%20GOATS%2C%20SHEEP%20AND%20POULTRY%20IN%20RAINY%20SEASON.docx","","","0","General Livestock","l","UWR"
"Summary of fertilizer application","b-30373732","b-30373732_0906AA59","Lang-uolo-Jirapa","dga","","1","144","","","2014/06/19","","2014-1:0066","HH Rotation 0:Day 049","","","","","","Planting / Sowing","l","UWR"
"Summary of diarrhea kills song","b-30373732","b-30373732_E45AF495","Lang-uolo-Jirapa","dga","","1","216","","","2014/06/20","","2014-1:0066","HH Rotation 0:Day 050","","","","","","General Feedback","l","UWR"
"Summary of weedicides and insecticides use","b-30373732","b-30373732_4AB9ABE6","Lang-uolo-Jirapa","dga","","1","194","","","2014/06/20","","2014-1:0066","HH Rotation 0:Day 050","","","","","","Maintaining crops (e.g. weeding)","l","UWR"
"Summary of tranplanting","b-30373732","b-30373732_9D187F06","Lang-uolo-Jirapa","dga","","1","153","","","2014/06/20","","2014-1:0066","HH Rotation 0:Day 050","","","","","","General Feedback","l","UWR"
"Summary of caring for goats, sheep and poultry in the rainy season","b-30373732","b-30373732_B543B5BC","Lang-uolo-Jirapa","dga","","1","189","","","2014/06/20","","2014-1:0066","HH Rotation 0:Day 050","","","","","","General Livestock","l","UWR"
"Unable to get health messages now","b-64646566","b-64646566_590382D4","Nyeni-Jirapa","dga","","2","67","Lecture","","2014/06/22","","2014-2:0001","HH Rotation 0:Day 001","","","","","","General Other","l","UWR"
"Summary of Delivery with skilled Attendant","b-32353639","b-32353639_9C2BD1A0","Singing Group","dga","","2","298","","","2014/06/02","","2014-1:0002","HH Rotation 0:Day 002","","","","","","General Feedback","l","UWR"
"Summary of supplementary feeding after six months","b-32353639","b-32353639_9826CCA5","Singing Group","dga","","3","155","","","2014/06/02","","2014-1:0003","HH Rotation 0:Day 002","","","","","","General Feedback","l","UWR"
"July Agric and Livestock messages","b-32353639","b-32353639_7534CD74","LB","dga","","3","6","Lecture","","2014/06/02","","2014-1:0005","HH Rotation 0:Day 002","","","","","","OLD-TB Update Intros","l","UWR"
"September and October agric and livestock messages","b-30373732","b-30373732_ED115686","LB","dga","","3","6","Lecture","","2014/07/20","","2014-1:0075","HH Rotation 0:Day 080","","","","","","General Feedback","l","UWR"
"Agric summary","b-30373732","b-30373732_D320C0F3","LB","dga","","3","92","Lecture","","2014/07/20","","2014-1:0075","HH Rotation 0:Day 080","","","","","","General Feedback","l","UWR"
"Health Summary","b-30373732","b-30373732_B015F9A2","LB","dga","","4","370","Lecture","","2014/07/20","","2014-1:0079","HH Rotation 0:Day 080","","","","","","General Feedback","l","UWR"
"Preventing post-harvest losses","b-30373732","b-30373732_6A28D36F","MOFA Jirapa","dga","","3","1005","Interview","","2014/07/24","","2014-1:0084","HH Rotation 0:Day 084","","","","","","General Feedback","l","UWR"
"Good storage methods","b-30373732","b-30373732_8D41BC90","Lang-uolo-Jirapa","dga","","4","1076","Interview","","2014/07/25","","2014-1:0084","HH Rotation 0:Day 085","","https://www.dropbox.com/s/7gozq3z7npuw0sr/GOOD%20STORAGE%20METHODS%202.docx?dl=0","","","","General Feedback","l","UWR"
"Gathering materials for compost preparation","b-30373732","b-30373732_2E5635A2","MOFA Jirapa","dga","","6","928","Interview","","2014/07/27","","2014-1:0086","HH Rotation 0:Day 087","","https://www.dropbox.com/s/ug7gsvmtotvt0zr/Gathering%20materials%20for%20compost%20prepar.odt?dl=0","","","","General Feedback","l","UWR"
"Preventing damages and infections in groundnuts","b-30373732","b-30373732_E748D5CA","MOFA Jirapa","dga","","5","580","Interview","","2014/07/27","","2014-1:0086","HH Rotation 0:Day 087","","https://www.dropbox.com/s/dvwtv0b8u76dnef/PREVENTING%20DAMAGES%20%26%20INFECTIONS%20IN%20GROUNDNUTS.odt?dl=0","","","","General Feedback","l","UWR"
"Common Poultry and Pigs Diseases","b-30373732","b-30373732_F1DF7A97","MOFA Jirapa","dga","","5","1164","Interview","","2014/07/27","","2014-1:0086","HH Rotation 0:Day 087","","https://www.dropbox.com/s/l23chj0brszww07/COMMON%20POULTRY%20AND%20PIGS%20DISEASES.odt?dl=0","","","","General Feedback","l","UWR"
"Summary of post-harvest losses","b-30373732","b-30373732_850B8AF0","LB","dga","","3","248","","","2014/07/27","","2014-1:0087","HH Rotation 0:Day 087","","","","","","General Feedback","l","UWR"
"Summary of Sorage methods","b-30373732","b-30373732_12586F4B","Lang-uolo-Jirapa","dga","","1","225","","","2014/07/27","","2014-1:0087","HH Rotation 0:Day 087","","","","","","General Feedback","l","UWR"
"Summary of gathering materials for compost preparation","b-30373732","b-30373732_EE99B4A1","LB","dga","","2","204","","","2014/07/28","","2014-1:0087","HH Rotation 0:Day 088","","","","","","General Feedback","l","UWR"
"Summary of preventing damages to groundnuts","b-30373732","b-30373732_B0D38A53","LB","dga","","2","223","","","2014/07/28","","2014-1:0087","HH Rotation 0:Day 088","","","","","","General Feedback","l","UWR"
"Summary of common poultry and pigs diseases","b-30373732","b-30373732_79154F15","LB","dga","","2","253","","","2014/07/29","","2014-1:0087","HH Rotation 0:Day 089","","","","","","General Feedback","l","UWR"
"Summary of Diarrhea kills ","b-30373732","b-30373732_F7047083","Lang-uolo-Jirapa","dga","","1","199","","","2014/08/27","","2014-1:0091","HH Rotation 0:Day 118","","","","","","General Feedback","l","UWR"
"Summary of Summary of complementary feeding message","b-30373732","b-30373732_EF015C92","Lang-uolo-Jirapa","dga","","1","86","","","2014/08/27","","2014-1:0093","HH Rotation 0:Day 118","","","","","","General Feedback","l","UWR"
"Summary of Importance of LLIN","b-30373732","b-30373732_045B9C0D","Lang-uolo-Jirapa","dga","","2","272","","","2014/08/27","","2014-1:0092","HH Rotation 0:Day 118","","","","","","General Feedback","l","UWR"
"Summary Delivery with a Skill Attendant and ANC","b-30373732","b-30373732_C5C24EB5","Lang-uolo-Jirapa","dga","","1","232","","","2014/08/27","","2014-1:0092","HH Rotation 0:Day 118","","","","","","General Feedback","l","UWR"
"Summary of Exclusive Breastfeeding","b-30373732","b-30373732_15F6DD42","Lang-uolo-Jirapa","dga","","1","289","","","2014/08/27","","2014-1:0092","HH Rotation 0:Day 118","","","","","","General Feedback","l","UWR"
"Summary of Update #4 Health Content","b-30373732","b-30373732_4C012328","Lang-uolo-Jirapa","dga","","2","122","Lecture","","2014/08/27","","2014-1:0094","HH Rotation 0:Day 118","","","","","","General Feedback","l","UWR"
"Queen mother's speech","b-30373732","b-30373732_DB08E7EC","Lang-uolo-Jirapa","dga","","2","165","Endorsement","","2014/08/27","","2014-1:0097","HH Rotation 0:Day 118","","","","","","General Feedback","l","UWR"
"September/October Intro","b-30373732","b-30373732_F415726D","Lang-uolo-Jirapa","dga","","1","6","","","2014/08/28","","2014-1:0098","HH Rotation 0:Day 119","","","","","","General Feedback","l","UWR"
"Earthen Up","b-30373732","b-30373732_5C0ED27C","MOFA-Jirapa","dga","","3","666","Interview","","2014/08/31","","2014-1:0101","HH Rotation 0:Day 122","","","","","","General Feedback","l","UWR"
"EBOLA Awareness","b-30373732","b-30373732_0107FCFE","Lang-uolo-Jirapa","dga","","3","895","Lecture","","2014/09/02","","2014-1:0105","HH Rotation 0:Day 124","","","","","","General Feedback","l","UWR"
"Title: Hand washig with soap","b-30373732","b-30373732_543F25F0","Lang-uolo-Jirapa","dga","","1","2","","","2014/08/28","","2014-1:0099","HH Rotation 0:Day 119","","","","","","General Feedback","l","UWR"
"October/November intro","b-30373732","b-30373732_1D0736E0","Lang-uolo-Jirapa","dga","","2","8","Lecture","","2014/10/09","","2014-1:0111","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"New messages on health for October/November","b-30373732","b-30373732_6003D08D","Lang-uolo-Jirapa","dga","","1","414","","","2014/10/09","","2014-1:0112","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"Summary: LLIN","b-30373732","b-30373732_F27A9EDA","Lang-uolo-Jirapa","dga","","1","122","","","2014/10/09","","2014-1:0112","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"Routine Immunization","b-30373732","b-30373732_C86187E0","Lang-uolo-Jirapa","dga","","1","5","","","2014/10/09","","2014-1:0111","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"Title: Causes and prevention of diarrhea","b-30373732","b-30373732_AD6D2D13","Lang-uolo-Jirapa","dga","","1","8","","","2014/10/09","","2014-1:0111","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"Title: Birth registration","b-30373732","b-30373732_F07E3E34","Lang-uolo-Jirapa","dga","","1","3","","","2014/10/09","","2014-1:0111","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"b-30373732_0112_0003_C7B04BCC","b-30373732","b-30373732_C7B04BCC","Lang-uolo-Jirapa","dga","","0","109","","","2014/10/09","","2014-1:0112","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"How  properly breastfeed","b-30373732","b-30373732_7A98657D","Lang-uolo-Jirapa","dga","","1","4","","","2014/10/09","","2014-1:0111","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"Title: Ebola awareness","b-30373732","b-30373732_D5A3A290","Lang-uolo-Jirapa","dga","","1","2","","","2014/10/09","","2014-1:0111","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"Summary: Immunization","b-30373732","b-30373732_74F494EC","Lang-uolo-Jirapa","dga","","1","127","","","2014/10/09","","2014-1:0112","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"Summary: Diarrhea management with ORS","b-30373732","b-30373732_0F287275","Lang-uolo-Jirapa","dga","","1","96","","","2014/10/09","","2014-1:0112","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"b-30373732_0112_0006_DF56F297","b-30373732","b-30373732_DF56F297","Lang-uolo-Jirapa","dga","","0","87","","","2014/10/09","","2014-1:0112","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
"b-30373732_0112_0007_F58C0168","b-30373732","b-30373732_F58C0168","Lang-uolo-Jirapa","dga","","0","115","","","2014/10/09","","2014-1:0112","HH Rotation 0:Day 161","","","","","","General Feedback","l","UWR"
